k,c,success_count,fail_count,avg_min_length,avg_max_force
11522.3406246,1341.35254293,0,1000,0.375844543133,10640.5748182
28335.9077167,121.426352934,0,1000,0.255661890765,7001.77621353
18484.4362262,801.455838816,300,700,0.34611352052,6568.79400066
20396.2791849,1057.54927958,60,940,0.370765612729,8645.8240197
28606.2899328,1421.4482446,74,926,0.398320889414,11697.0686684
20910.0899449,1314.07850968,1,999,0.387000598947,10644.9132733
21929.2085547,1221.32901305,24,976,0.382097689758,10039.8911205
8212.50874924,902.713852409,0,1000,0.327567504811,7113.69454416
25515.9867796,1235.68585102,89,911,0.385972668007,10277.2338486
25510.6709175,976.315538007,469,531,0.37139738511,8158.31645037
10167.1090239,1012.07867375,0,1000,0.347811165404,7949.93968742
10364.7280384,483.545586717,302,698,0.269639597531,3836.91697832
5974.07845325,628.162720599,0,1000,0.27075694678,4825.57049229
13413.855491,965.555436521,1,999,0.350777237901,7718.2755899
14634.9155316,1018.01169438,2,998,0.356256988711,8294.11159591
13515.6142538,1054.25913953,0,1000,0.359522556558,8412.61141696
17400.9363719,464.972342723,923,77,0.295636439945,4555.97820618
13708.4150972,1070.04650309,0,1000,0.360992134233,8522.07559835
5979.65816896,1411.30740691,0,1000,0.368673375031,10927.3693714
29189.5139031,685.124444084,1000,0,0.350112695663,6299.5684819
15586.7734422,867.160635766,29,971,0.347269509784,6976.90740308
19398.1142133,895.928396576,173,827,0.355736515,7364.88215484
8192.24318613,1124.30685409,0,1000,0.352643684344,8738.44242227
19513.6004301,450.023026141,985,15,0.301956466922,4756.67607033
19046.6673296,1313.96324767,2,998,0.384724044684,10613.0958576
21996.1194882,434.035603097,960,40,0.303961854788,5131.05096691
10955.9038069,1135.87226417,0,1000,0.360390271707,8965.28469044
18358.1868425,628.820440719,745,255,0.324653957375,5273.21728747
14740.4522404,795.185664694,59,941,0.336675639487,6393.64050448
7499.62221654,516.689238988,13,987,0.255800608518,3999.72458862
28963.5374165,174.879416438,9,991,0.270295885775,6804.52918492
13872.6297492,1286.00040694,0,1000,0.376966368169,10184.5846563
21919.2476137,1439.52123817,4,996,0.394926209442,11524.0184488
17325.6414755,775.529330021,240,760,0.340660691155,6337.36896257
7292.60365274,216.598176091,181,819,0.149069070646,2852.95361055
18842.5762959,943.417296514,87,913,0.358537489726,7785.56740995
28654.8635454,397.819051925,529,471,0.313502745402,5988.66217713
7836.61507297,1193.81446757,0,1000,0.358391053907,9233.75530804
29356.205351,1403.30074935,113,887,0.398776855216,11504.1515549
6396.77893341,1494.30373737,0,1000,0.376283532151,11487.5949187
18647.8943569,1131.84977104,4,996,0.373672401254,9176.81591549
29216.2986549,1088.16407958,503,497,0.382001304443,9144.87856045
25924.0968907,1063.24200896,306,694,0.37625252992,8955.43734285
25962.0191081,1313.6161918,62,938,0.392066217105,10785.7171414
10564.4104705,696.528062019,3,997,0.307881052916,5576.92516288
27297.422744,655.312236795,1000,0,0.344020320077,6050.93801906
17833.154365,305.246750076,682,318,0.264884493329,4636.7018718
19532.6354074,426.51929276,981,19,0.294893319944,4824.35815347
27008.999189,1308.39393095,118,882,0.392530857345,10729.2665577
27692.3425155,431.359266755,712,288,0.316614999311,5830.65980929
13755.4561193,928.644230724,4,996,0.347808050985,7474.13904301
17041.6746596,1091.45368187,4,996,0.368064115491,8818.70277794
22627.1090666,629.182624185,970,30,0.334246552283,5536.21087015
13256.3133148,448.21380982,661,339,0.275200682298,4023.88167438
11342.0544174,708.232586634,14,986,0.313860194972,5677.9929554
19286.8257912,667.282922151,698,302,0.330833833228,5627.63392919
24179.8713473,1137.36341025,110,890,0.37999337103,9457.29007376
23605.2913233,1251.90649567,39,961,0.384928816048,10368.9889326
10937.6617636,1053.45519275,0,1000,0.35297686611,8330.93809305
16942.8723781,660.312054247,476,524,0.323806152794,5484.65007761
18209.2529958,216.047849227,229,771,0.243349569835,4913.8345863
25052.7313745,710.870160794,945,55,0.345835091855,6217.07202776
18900.1260335,1469.06093005,0,1000,0.39309588323,11725.2480346
6085.01957666,551.760938871,0,1000,0.251727074764,4253.15849991
